id,handle,text,time,retweet_count,favorite_count,engagement,cleaned_text,cleaned_text_no_stopwords,themes,is_repeated,sentiment,sentiment_score
7.81e+17,HillaryClinton,"The election is just weeks away. Check if you're registered to vote at https://t.co/HcMAh8ljR0, only takes a few cl… https://t.co/H1H7hAA4XM",2016-09-27T20:37:47,3347,7698,11045,the election is just weeks away check if youre registered to vote at  only takes a few cl,weeks check registered takes cl,Other,No,Negative,-0.1
7.81e+17,realDonaldTrump,"On National #VoterRegistrationDay, make sure you're registered to vote so we can #MakeAmericaGreatAgain… https://t.co/0wib6UEZON",2016-09-27T20:31:14,2953,6963,9916,on national voterregistrationday make sure youre registered to vote so we can makeamericagreatagain,voterregistrationday registered,Other,No,Positive,0.5
7.81e+17,realDonaldTrump,"Hillary Clinton's Campaign Continues To Make False Claims About Foundation Disclosure: 
https://t.co/zhkEfUouHH",2016-09-27T20:14:33,3833,9840,13673,hillary clintons campaign continues to make false claims about foundation disclosure,clintons continues false claims foundation disclosure,Other,No,Negative,-0.4000000000000001
7.81e+17,realDonaldTrump,"'CNBC, Time magazine online polls say Donald Trump won the first presidential debate' via @WashTimes. #MAGA
https://t.co/PGimqYKPoJ",2016-09-27T20:06:25,4236,10948,15184,cnbc time magazine online polls say donald trump won the first presidential debate via washtimes maga,cnbc magazine online polls via washtimes,Other,No,Positive,0.25
7.81e+17,HillaryClinton,Donald Trump lied to the American people at least 58 times during the first presidential debate. (We counted.) https://t.co/h43O6Rws4S,2016-09-27T19:59:28,5379,8917,14296,donald trump lied to the american people at least  times during the first presidential debate we counted,lied times counted,Other,No,Neutral,-0.016666666666666663
7.81e+17,realDonaldTrump,Great afternoon in Little Havana with Hispanic community leaders. Thank you for your support! #ImWithYou https://t.co/vxWZ2tyJTF,2016-09-27T19:59:04,4878,14110,18988,great afternoon in little havana with hispanic community leaders thank you for your support imwithyou,afternoon little havana hispanic community leaders,Other,No,Positive,0.30625
7.81e+17,realDonaldTrump,"In the last 24 hrs. we have raised over $13M from online donations and National Call Day, and we’re still going! Thank you America! #MAGA",2016-09-27T19:37:22,6939,23330,30269,in the last  hrs we have raised over m from online donations and national call day and were still going thank you america maga,hrs raised online donations call,Other,No,Neutral,0.0
7.81e+17,HillaryClinton,"“She gained about 55 pounds in...9 months. She was like an eating machine.” —Trump, a man who wants to be president: https://t.co/1ht91eZCyw",2016-09-27T19:31:01,2058,3714,5772,she gained about  pounds in months she was like an eating machine trump a man who wants to be president,gained pounds months eating machine,Other,No,Positive,0.2
7.81e+17,HillaryClinton,It's #NationalVoterRegistrationDay. Celebrate by registering to vote → https://t.co/tTgeqxNqYm https://t.co/R6lVvgLECG,2016-09-27T18:45:39,1792,3500,5292,its nationalvoterregistrationday celebrate by registering to vote,nationalvoterregistrationday celebrate registering,Other,No,Neutral,0.0
7.81e+17,HillaryClinton,"""I love this country.
I’m proud of this country.
I want to be a leader who brings people together.""
—Hillary #LoveTrumpsHate",2016-09-27T18:12:06,1437,5053,6490,"i love this country
im proud of this country
i want to be a leader who brings people together
hillary lovetrumpshate",leader brings lovetrumpshate,Other,No,Positive,0.65
7.81e+17,HillaryClinton,"We don’t want to turn against each other.
We want to work with one another.
We want to set big goals in this country.
#StrongerTogether",2016-09-27T18:10:07,976,3313,4289,"we dont want to turn against each other
we want to work with one another
we want to set big goals in this country
strongertogether",set goals strongertogether,Other,No,Negative,-0.0625
7.81e+17,HillaryClinton,"""What we hear from my opponent is dangerously incoherent. It's unclear what he's saying, but words matter."" —Hillary",2016-09-27T18:06:28,957,2968,3925,what we hear from my opponent is dangerously incoherent its unclear what hes saying but words matter hillary,opponent dangerously incoherent unclear words matter,Other,No,Negative,-0.19999999999999998
7.81e+17,HillaryClinton,One candidate made it clear he wasn’t prepared for last night’s debate. The other made it clear she’s prepared to b… https://t.co/InYZBmnbBM,2016-09-27T18:05:27,3336,9961,13297,one candidate made it clear he wasnt prepared for last nights debate the other made it clear shes prepared to b,wasnt prepared nights prepared,Other,No,Neutral,0.018749999999999996
7.81e+17,HillaryClinton,"""What kind of a person would want to root for 9 million families losing their homes?

One who should never be president."" —Hillary on Trump",2016-09-27T18:02:54,1127,3216,4343,"what kind of a person would want to root for  million families losing their homes

one who should never be president hillary on trump",person root families losing homes,Families,No,Positive,0.6
7.81e+17,HillaryClinton,"""I don’t think that any family should have to pay more than 10% of their income on child care.” —Hillary https://t.co/pepW0auI8n",2016-09-27T17:58:15,586,1681,2267,i dont think that any family should have to pay more than  of their income on child care hillary,family income child,Other,No,Positive,0.5
7.81e+17,HillaryClinton,"""I’m really glad my dad never had a contract with Donald Trump.” —Hillary https://t.co/un2YiRLEYF",2016-09-27T17:55:26,1580,2967,4547,im really glad my dad never had a contract with donald trump hillary,glad dad contract,Other,No,Positive,0.5
7.81e+17,HillaryClinton,"When you work hard, you should not be living in poverty. https://t.co/86sTOCAkkq",2016-09-27T17:52:47,557,1633,2190,when you work hard you should not be living in poverty,hard living poverty,Other,No,Negative,-0.2916666666666667
7.81e+17,realDonaldTrump,"Well, now they're saying that I not only won the NBC Presidential Forum, but last night the big debate. Nice!",2016-09-27T17:47:36,8534,28578,37112,well now theyre saying that i not only won the nbc presidential forum but last night the big debate nice,theyre nbc forum nice,Other,No,Positive,0.15
7.81e+17,HillaryClinton,"""We may have a record-setting turnout in this election.

We could have the biggest turnout we've ever had."" https://t.co/tTgeqxNqYm",2016-09-27T17:44:07,556,1546,2102,"we may have a recordsetting turnout in this election

we could have the biggest turnout weve ever had",recordsetting turnout biggest turnout weve,Other,No,Neutral,0.0
7.81e+17,HillaryClinton,"""You can go to https://t.co/tTgeqxNqYm to make sure you are registered. And I hope you all will.” —Hillary #NationalVoterRegistrationDay",2016-09-27T17:40:05,661,1326,1987,you can go to  to make sure you are registered and i hope you all will hillary nationalvoterregistrationday,registered hope nationalvoterregistrationday,Other,No,Positive,0.5
7.81e+17,HillaryClinton,Join Hillary live in NC for her first rally since winning last night's debate → https://t.co/DzEpIDf7HY #NationalVoterRegistrationDay,2016-09-27T17:35:08,1115,3941,5056,join hillary live in nc for her first rally since winning last nights debate   nationalvoterregistrationday,nc winning nights nationalvoterregistrationday,Other,No,Positive,0.2215909090909091
7.81e+17,HillaryClinton,So. Everything you're feeling after #Debates2016? It's #NationalVoterRegistrationDay. PLEASE:… https://t.co/YnOtJL8bW7,2016-09-27T17:20:13,1328,2435,3763,so everything youre feeling after debates its nationalvoterregistrationday please,feeling debates nationalvoterregistrationday please,Other,No,Neutral,0.0
7.81e+17,HillaryClinton,"“Donald just criticized me for preparing for this debate. And you know what else I prepared for?

I prepared to be… https://t.co/QjB01msPaT",2016-09-27T17:07:22,6185,16805,22990,"donald just criticized me for preparing for this debate and you know what else i prepared for

i prepared to be",criticized preparing else prepared prepared,Other,No,Neutral,0.0
7.81e+17,realDonaldTrump,"Thank you for your endorsement, @GovernorSununu. #MAGA 
https://t.co/8BEeQPsuyd",2016-09-27T16:58:58,4191,13152,17343,thank you for your endorsement governorsununu maga,endorsement governorsununu,Other,No,Neutral,0.0
7.81e+17,HillaryClinton,Hillary was the winner of the first presidential debate—and newspapers across America agree. #SheWon… https://t.co/oDiUHd0eXO,2016-09-27T16:54:22,2593,6269,8862,hillary was the winner of the first presidential debateand newspapers across america agree shewon,winner debateand newspapers agree shewon,Other,No,Positive,0.25
7.81e+17,HillaryClinton,"Trump sobre Alicia Machado en 1996: ""Miss Piggy""

Esta mañana: ""Aumentó mucho de peso... era un problema serio"". https://t.co/Sv92DhXTPJ",2016-09-27T16:37:19,2252,3264,5516,"trump sobre alicia machado en  miss piggy

esta maana aument mucho de peso era un problema serio",alicia machado miss piggy esta maana aument mucho peso era problema serio,Other,No,Neutral,0.0
7.81e+17,HillaryClinton,Register and vote for Democrats like @HillaryClinton and @KatieMcGintyPA: https://t.co/tu6W6eS9xR #iRegistered… https://t.co/9ovdecqadN,2016-09-27T16:29:30,1235,3206,4441,register and vote for democrats like hillaryclinton and katiemcgintypa  iregistered,register democrats katiemcgintypa iregistered,Other,No,Neutral,0.0
7.81e+17,HillaryClinton,I've been fortunate to meet young Americans from all over the country. We all make choices. This is mine...… https://t.co/bYoUE91TOO,2016-09-27T16:24:03,804,2086,2890,ive been fortunate to meet young americans from all over the country we all make choices this is mine,ive fortunate meet choices mine,Other,No,Positive,0.25
7.81e+17,HillaryClinton,"""She gained a massive amount of weight...it was a real problem."" —Trump this morning on Alicia Machado https://t.co/LJPlFegSTs",2016-09-27T16:12:28,4829,7580,12409,she gained a massive amount of weightit was a real problem trump this morning on alicia machado,gained massive amount weightit alicia machado,Other,No,Positive,0.1
7.81e+17,HillaryClinton,"Today is #NationalVoterRegistrationDay - I was beaten, left bloody &amp; unconscious so that every person could register and vote. Do your part.",2016-09-27T16:03:49,20006,24333,44339,today is nationalvoterregistrationday  i was beaten left bloody amp unconscious so that every person could register and vote do your part,nationalvoterregistrationday beaten bloody unconscious person register,Other,No,Negative,-0.4
7.81e+17,HillaryClinton,More than 70 million Americans aren't registered to vote. We have to do better! Get registered &amp; spread the word: https://t.co/IobF5PQ7jv,2016-09-27T16:01:04,1138,1554,2692,more than  million americans arent registered to vote we have to do better get registered amp spread the word,arent registered registered spread word,Other,No,Positive,0.5
7.81e+17,HillaryClinton,"When you have a really, really good night. #SheWon https://t.co/FVeGqhYxRZ",2016-09-27T15:54:07,8242,35744,43986,when you have a really really good night shewon,shewon,Other,No,Positive,0.7
7.81e+17,realDonaldTrump,"Such a great honor. Final debate polls are in - and the MOVEMENT wins!
#AmericaFirst #MAGA #ImWithYou… https://t.co/DV1BKMwHEM",2016-09-27T15:47:29,13576,27245,40821,"such a great honor final debate polls are in  and the movement wins
americafirst maga imwithyou",honor final polls movement wins,Other,No,Positive,0.275
7.81e+17,HillaryClinton,"""Register. Vote. Go out and get engaged!” —@JoeBiden #NationalVoterRegistrationDay https://t.co/tTgeqxNqYm",2016-09-27T15:42:48,1350,2874,4224,register vote go out and get engaged joebiden nationalvoterregistrationday,register engaged nationalvoterregistrationday,Other,No,Neutral,0.0
7.81e+17,HillaryClinton,"""I'm glad Trump found out that Crimea was part of Ukraine. By the way, I heard he was on the verge of acknowledging gravity."" —@JoeBiden",2016-09-27T15:32:57,5557,16289,21846,im glad trump found out that crimea was part of ukraine by the way i heard he was on the verge of acknowledging gravity joebiden,glad found crimea ukraine heard verge acknowledging gravity,Other,No,Positive,0.5
7.81e+17,HillaryClinton,"“Let me tell you who built this damn country: the middle class.” —@JoeBiden

Let's keep building it, together: https://t.co/tTgeqxNqYm",2016-09-27T15:26:17,1453,4741,6194,"let me tell you who built this damn country the middle class joebiden

lets keep building it together",built damn middle class building,Other,No,Neutral,0.0
7.81e+17,HillaryClinton,One moment last night that proved—again—that Hillary's the only candidate ready to lead on the global stage: https://t.co/i4lrw7BpE9 #SheWon,2016-09-27T15:12:56,1452,4840,6292,one moment last night that provedagainthat hillarys the only candidate ready to lead on the global stage  shewon,moment provedagainthat ready lead global stage shewon,Other,No,Neutral,0.05
7.81e+17,realDonaldTrump,'U.S. Murders Increased 10.8% in 2015' via @WSJ: https://t.co/CIJMQJhLqp,2016-09-27T14:55:57,5365,10729,16094,us murders increased  in  via wsj,murders increased via wsj,Other,No,Neutral,0.0
7.81e+17,HillaryClinton,"""Anyone who complains about microphone problems is not having a good night."" —Hillary #SheWon",2016-09-27T14:53:01,4773,14979,19752,anyone who complains about microphone problems is not having a good night hillary shewon,complains microphone shewon,Other,No,Positive,0.7
7.81e+17,realDonaldTrump,"Thank you! #TrumpWon #MAGA 
https://t.co/a5rr1i38km",2016-09-27T14:51:25,7255,17380,24635,thank you trumpwon maga,trumpwon,Other,No,Neutral,0.0
7.81e+17,realDonaldTrump,Hillary's been failing for 30 years in not getting the job done - it will never change.,2016-09-27T14:49:09,12127,31856,43983,hillarys been failing for  years in not getting the job done  it will never change,failing getting job,Other,No,Neutral,0.0
7.81e+17,HillaryClinton,"Trump on Alicia, 1996: ""Miss Piggy.""

This morning: ""She gained a massive amount of weight...it was a real problem."" https://t.co/0wrISjJe6z",2016-09-27T13:57:55,16476,22611,39087,"trump on alicia  miss piggy

this morning she gained a massive amount of weightit was a real problem",alicia miss piggy gained massive amount weightit,Other,No,Positive,0.1
7.81e+17,realDonaldTrump,'True blue-collar billionaire Donald Trump shows Hillary Clinton is out of touch' https://t.co/NHO1OicfVm,2016-09-27T13:49:07,5827,14338,20165,true bluecollar billionaire donald trump shows hillary clinton is out of touch,true bluecollar billionaire touch,Other,No,Positive,0.35
7.81e+17,realDonaldTrump,The #1 trend on Twitter right now is #TrumpWon - thank you!,2016-09-27T13:17:40,19561,52449,72010,the  trend on twitter right now is trumpwon  thank you,trend twitter trumpwon,Other,No,Positive,0.2857142857142857
7.81e+17,realDonaldTrump,I won every poll from last nights Presidential Debate - except for the little watched @CNN poll.,2016-09-27T13:14:55,9598,29309,38907,i won every poll from last nights presidential debate  except for the little watched cnn poll,nights except little watched,Other,No,Negative,-0.09375
7.81e+17,realDonaldTrump,"'How Trump won over a bar full of undecideds and Democrats'
https://t.co/WWO39kxn8Y",2016-09-27T12:55:31,6704,15988,22692,how trump won over a bar full of undecideds and democrats,bar undecideds democrats,Other,No,Positive,0.35
7.81e+17,realDonaldTrump,I really enjoyed the debate last night.Crooked Hillary says she is going to do so many things.Why hasn't she done them in her last 30 years?,2016-09-27T12:53:42,21628,59791,81419,i really enjoyed the debate last nightcrooked hillary says she is going to do so many thingswhy hasnt she done them in her last  years,enjoyed nightcrooked thingswhy hasnt,Other,No,Positive,0.25
7.81e+17,HillaryClinton,"""I have a winning temperament."" —Donald Trump last night 

Really? #SheWon https://t.co/nMTFoISagO",2016-09-27T12:32:21,4120,10456,14576,"i have a winning temperament donald trump last night 

really shewon",winning temperament shewon,Other,No,Positive,0.2333333333333333
7.81e+17,HillaryClinton,Only one person on last night's stage is prepared to be Commander-in-Chief. Make sure she gets the chance:… https://t.co/o50AezGRrb,2016-09-27T11:57:38,6253,17113,23366,only one person on last nights stage is prepared to be commanderinchief make sure she gets the chance,person nights stage prepared commanderinchief chance,Other,No,Positive,0.16666666666666666
7.81e+17,realDonaldTrump,Great debate poll numbers - I will be on @foxandfriends at 7:00 to discuss. Enjoy!,2016-09-27T10:44:58,4437,16423,20860,great debate poll numbers  i will be on foxandfriends at  to discuss enjoy,foxandfriends discuss,Other,No,Positive,0.6000000000000001
7.81e+17,realDonaldTrump,"Thank you! Four new #DebateNight polls with the MOVEMENT winning. Together, we will MAKE AMERICA SAFE &amp; GREAT AGAIN… https://t.co/39FCnUf8Pb",2016-09-27T06:32:29,10829,24078,34907,thank you four new debatenight polls with the movement winning together we will make america safe amp great again,debatenight polls movement winning safe,Other,No,Positive,0.48409090909090907
7.81e+17,realDonaldTrump,".@DRUDGE_REPORT's First Presidential Debate Poll:
Trump: 80%
Clinton: 20%
Join the MOVEMENT today &amp; lets #MAGA!… https://t.co/B12lgC97tn",2016-09-27T05:54:42,10763,24643,35406,"drudgereports first presidential debate poll
trump 
clinton 
join the movement today amp lets maga",drudgereports movement,Other,No,Positive,0.25
7.81e+17,realDonaldTrump,"Thank you! CNBC #DebateNight poll with over 400,000 votes. 
Trump 61%
Clinton 39%
#AmericaFirst #ImWithYou… https://t.co/MJ3NwA98op",2016-09-27T05:44:02,16167,34480,50647,"thank you cnbc debatenight poll with over  votes 
trump 
clinton 
americafirst imwithyou",cnbc debatenight votes,Other,No,Neutral,0.0
7.81e+17,realDonaldTrump,"TIME #DebateNight poll - over 800,000 votes. Thank you! 
#AmericaFirst #MAGA https://t.co/bTPX9E0wKu",2016-09-27T05:36:33,12479,27258,39737,"time debatenight poll  over  votes thank you 
americafirst maga",debatenight votes,Other,No,Neutral,0.0
7.81e+17,realDonaldTrump,".@newtgingrich just said ""a historic victory for Trump."" NICE!",2016-09-27T05:18:10,7709,24434,32143,newtgingrich just said a historic victory for trump nice,newtgingrich historic victory nice,Other,No,Positive,0.3
7.81e+17,HillaryClinton,"Tonight, @HillaryClinton proved she is ready to be President — and Donald Trump proved he is not. #debatenight https://t.co/Zeq5iF09Bc",2016-09-27T05:16:56,10733,30012,40745,tonight hillaryclinton proved she is ready to be president  and donald trump proved he is not debatenight,proved ready proved debatenight,Other,No,Positive,0.2
7.81e+17,realDonaldTrump,"Wow, did great in the debate polls (except for @CNN - which I don't watch). Thank you!",2016-09-27T04:34:09,12739,40321,53060,wow did great in the debate polls except for cnn  which i dont watch thank you,polls except,Other,No,Positive,0.45
7.81e+17,HillaryClinton,43 days left. Let’s go win this thing: https://t.co/vJShYQPqJb #DebateNight https://t.co/MzR30MEI0J,2016-09-27T04:04:38,6505,21912,28417,days left lets go win this thing  debatenight,days debatenight,Other,No,Positive,0.4
7.81e+17,realDonaldTrump,"Thank you Governor @TerryBranstad! 
#AmericaFirst #Debates2016 https://t.co/yIeZctdQy8",2016-09-27T04:02:51,5578,14830,20408,"thank you governor terrybranstad 
americafirst debates",governor terrybranstad debates,Other,No,Neutral,0.0
7.81e+17,realDonaldTrump,"Thank you Governor @Mike_Pence!
Lets MAKE AMERICA SAFE AND GREAT AGAIN with the American people. 
#AmericaFirst… https://t.co/6k7qP9X8nC",2016-09-27T04:01:32,7350,22113,29463,"thank you governor mikepence
lets make america safe and great again with the american people 
americafirst",governor mikepence safe,Other,No,Positive,0.43333333333333335
7.81e+17,realDonaldTrump,"Thank you Senator @TedCruz!
#Debates2016 #MAGA https://t.co/cgO6109USJ",2016-09-27T03:58:24,18519,39447,57966,"thank you senator tedcruz
debates maga",senator tedcruz debates,Other,No,Neutral,0.0
7.81e+17,HillaryClinton,.@timkaine That's what we @Wellesley girls do! And it's so clear @HillaryClinton is the only candidate prepared to be president #debatenight,2016-09-27T03:52:39,3229,10833,14062,timkaine thats what we wellesley girls do and its so clear hillaryclinton is the only candidate prepared to be president debatenight,wellesley girls prepared debatenight,Other,No,Neutral,0.049999999999999996
7.81e+17,HillaryClinton,#DebateNight https://t.co/x4oTfkIlHS,2016-09-27T03:41:28,36243,72815,109058,debatenight,debatenight,Other,No,Neutral,0.0
7.81e+17,HillaryClinton,"Donald Trump called her ""Miss Piggy"" and ""Miss Housekeeping.""

Her name is Alicia Machado. #DebateNight https://t.co/0wrISjJe6z",2016-09-27T03:33:57,57182,74103,131285,"donald trump called her miss piggy and miss housekeeping

her name is alicia machado debatenight",called miss piggy miss housekeeping name alicia machado debatenight,Other,No,Neutral,0.0
7.81e+17,HillaryClinton,Hillary Clinton did what she needed to do: https://t.co/OhN5ZjCu2G https://t.co/4P3f6pNXB3,2016-09-27T03:18:22,2277,6913,9190,hillary clinton did what she needed to do,,Other,No,Neutral,0.0
7.81e+17,HillaryClinton,"Tonight, we heard from two candidates -- but only one president. #ImWithHer",2016-09-27T03:14:49,7576,20896,28472,tonight we heard from two candidates  but only one president imwithher,heard candidates imwithher,Other,No,Neutral,0.0
7.81e+17,HillaryClinton,"""Hillary won big time. It was a shut out."" -- @HardballChris #debatenight",2016-09-27T03:12:31,4682,12991,17673,hillary won big time it was a shut out  hardballchris debatenight,shut hardballchris debatenight,Other,No,Neutral,0.0
7.81e+17,HillaryClinton,Clinton won this debate in part because she had more stamina for this than Trump. He flagged badly after 30 minutes. She didn't.,2016-09-27T03:03:24,8546,22141,30687,clinton won this debate in part because she had more stamina for this than trump he flagged badly after  minutes she didnt,stamina flagged badly minutes didnt,Other,No,Negative,-0.09999999999999992
7.81e+17,HillaryClinton,The presidency isn't a reality show—it's as real as it gets. Make sure you're registered to vote:… https://t.co/gBZ42fzFnF,2016-09-27T02:57:56,8550,20188,28738,the presidency isnt a reality showits as real as it gets make sure youre registered to vote,presidency reality showits registered,Other,No,Positive,0.35
7.81e+17,HillaryClinton,Text IMWITHHER to 47246 to tell Hillary you're on her team all the way to Election Day. #debatenight https://t.co/YzlkvzVTGY,2016-09-27T02:50:50,3134,12026,15160,text imwithher to  to tell hillary youre on her team all the way to election day debatenight,text imwithher team debatenight,Other,No,Neutral,0.0
7.81e+17,HillaryClinton,Gracias señora @HillaryClinton su respeto a las mujeres y nuestras diferencias la hacen grande! Estoy con usted!,2016-09-27T02:48:53,11939,22707,34646,gracias seora hillaryclinton su respeto a las mujeres y nuestras diferencias la hacen grande estoy con usted,gracias seora su respeto las mujeres nuestras diferencias hacen grande estoy con usted,Other,No,Neutral,0.0
7.81e+17,HillaryClinton,RT this if you're proud to be standing with Hillary tonight. #debatenight https://t.co/91tBmKxVMs,2016-09-27T02:45:44,80169,80678,160847,rt this if youre proud to be standing with hillary tonight debatenight,rt standing debatenight,Other,No,Positive,0.8
7.81e+17,HillaryClinton,Hillary just proved she's the only candidate who's ready to be president. Chip in now and let's go win this thing: https://t.co/ATqqxWU0Hc,2016-09-27T02:43:15,5065,16336,21401,hillary just proved shes the only candidate whos ready to be president chip in now and lets go win this thing,proved ready chip,Other,No,Positive,0.3333333333333333
7.81e+17,realDonaldTrump,".@HillaryClinton’s Nuclear Agreement Paved The Way For The $400 Million Ransom Payment #DebateNight
https://t.co/qfZTx6aKYs",2016-09-27T02:42:49,8575,19522,28097,hillaryclintons nuclear agreement paved the way for the  million ransom payment debatenight,hillaryclintons nuclear agreement paved ransom payment debatenight,Other,No,Neutral,0.0
7.81e+17,realDonaldTrump,Nothing on emails. Nothing on the corrupt Clinton Foundation. And nothing on #Benghazi. #Debates2016 #debatenight,2016-09-27T02:40:26,30921,56562,87483,nothing on emails nothing on the corrupt clinton foundation and nothing on benghazi debates debatenight,emails corrupt foundation benghazi debates debatenight,Other,No,Negative,-0.5
7.81e+17,HillaryClinton,"When Donald Trump says he has a ""winning temperament."" #debatenight https://t.co/ElQ7aG2vxu",2016-09-27T02:40:04,26656,48875,75531,when donald trump says he has a winning temperament debatenight,winning temperament debatenight,Other,No,Positive,0.5
7.81e+17,HillaryClinton,The woman Trump called “Miss Piggy” has a name: Alicia. #debatenight https://t.co/XlthzE8X8j,2016-09-27T02:38:01,23394,36574,59968,the woman trump called miss piggy has a name alicia debatenight,woman called miss piggy name alicia debatenight,Other,No,Neutral,0.0
7.81e+17,realDonaldTrump,.@HillaryClinton - Obama #ISIS Strategy Has Allowed It To Expand To Become A Global Threat #DebateNight https://t.co/f7PctDE31L,2016-09-27T02:36:11,6680,15499,22179,hillaryclinton  obama isis strategy has allowed it to expand to become a global threat debatenight,isis strategy allowed expand global threat debatenight,Other,No,Neutral,0.0
7.81e+17,HillaryClinton,"""When Donald Trump spends 11 hours testifying in front of a congressional committee, he can talk to me about stamina."" —Hillary #debatenight",2016-09-27T02:35:21,20652,46042,66694,when donald trump spends  hours testifying in front of a congressional committee he can talk to me about stamina hillary debatenight,spends hours testifying front congressional committee talk stamina debatenight,Other,No,Neutral,0.0
7.81e+17,realDonaldTrump,.@realDonaldTrump calling out @HillaryClinton's support for NAFTA = most searched moment during tonight's debate.… https://t.co/2BovwrJisi,2016-09-27T02:33:59,6139,13209,19348,realdonaldtrump calling out hillaryclintons support for nafta  most searched moment during tonights debate,calling hillaryclintons nafta searched moment tonights,Other,No,Positive,0.5
7.81e+17,HillaryClinton,"Donald Trump's ""cavalier attitude about nuclear weapons is so deeply troubling.” #DebateNight https://t.co/z66rUZz31J",2016-09-27T02:30:00,5011,13026,18037,donald trumps cavalier attitude about nuclear weapons is so deeply troubling debatenight,cavalier attitude nuclear weapons deeply troubling debatenight,Other,No,Neutral,0.0
7.81e+17,realDonaldTrump,"Russia has more warheads than ever, N Korea is testing nukes, and Iran got a sweetheart deal to keep theirs. Thanks, @HillaryClinton.",2016-09-27T02:28:26,11851,26791,38642,russia has more warheads than ever n korea is testing nukes and iran got a sweetheart deal to keep theirs thanks hillaryclinton,russia warheads korea testing nukes iran sweetheart deal,Other,No,Positive,0.35
7.81e+17,HillaryClinton,.@realDonaldTrump: Barack Obama is your president too. #debatenight,2016-09-27T02:27:23,17402,38775,56177,realdonaldtrump barack obama is your president too debatenight,barack debatenight,Other,No,Neutral,0.0
7.81e+17,HillaryClinton,A man who can be provoked by a tweet should not have his hands anywhere near the nuclear codes. #DebateNight,2016-09-27T02:26:33,45008,82338,127346,a man who can be provoked by a tweet should not have his hands anywhere near the nuclear codes debatenight,provoked tweet hands near nuclear codes debatenight,Other,No,Positive,0.1
7.81e+17,realDonaldTrump,"Hillary Clinton failed all over the world. 
❌LIBYA
❌SYRIA
❌IRAN
❌IRAQ
❌ASIA PIVOT
❌RUSSIAN RESET
❌BENGHAZI… https://t.co/OoakXs2rij",2016-09-27T02:26:13,21745,40457,62202,"hillary clinton failed all over the world 
libya
syria
iran
iraq
asia pivot
russian reset
benghazi",failed libya syria iran iraq asia pivot russian reset benghazi,Other,No,Negative,-0.25
